Facility Type,Sector,ghg
Munition or Explosives Plant,Industry (energy + processes),PM2.5
Munition or Explosives Plant,Industry (energy + processes),NOx
Munition or Explosives Plant,Industry (energy + processes),SO2_1
Munition or Explosives Plant,Industry (energy + processes),NH3
Munition or Explosives Plant,Industry (energy + processes),NMVOC
Munition or Explosives Plant,Industry (energy + processes),PM10_AGG
Munition or Explosives Plant,Industry (energy + processes),PM2.5_AGG
Off-shore Oil or Gas Platform,Resource production (gas and oil),PM2.5
Off-shore Oil or Gas Platform,Resource production (gas and oil),PM10
Off-shore Oil or Gas Platform,Resource production (gas and oil),NMVOC
Off-shore Oil or Gas Platform,Resource production (gas and oil),CO
Off-shore Oil or Gas Platform,Resource production (gas and oil),SO2_1
Off-shore Oil or Gas Platform,Resource production (gas and oil),NH3
Off-shore Oil or Gas Platform,Resource production (gas and oil),PM2.5_AGG
Off-shore Oil or Gas Platform,Resource production (gas and oil),PM10_AGG
Off-shore Oil or Gas Platform,Resource production (gas and oil),NOx
Oil or Gas Facility (On-shore),Resource production (gas and oil),PM2.5
Oil or Gas Facility (On-shore),Resource production (gas and oil),PM10
Oil or Gas Facility (On-shore),Resource production (gas and oil),NMVOC
Oil or Gas Facility (On-shore),Resource production (gas and oil),CO
Oil or Gas Facility (On-shore),Resource production (gas and oil),SO2_1
Oil or Gas Facility (On-shore),Resource production (gas and oil),NH3
Oil or Gas Facility (On-shore),Resource production (gas and oil),PM2.5_AGG
Oil or Gas Facility (On-shore),Resource production (gas and oil),PM10_AGG
Oil or Gas Facility (On-shore),Resource production (gas and oil),NOx
Petroleum Refinery,Refining (oil),PM2.5
Petroleum Refinery,Refining (oil),PM10
Petroleum Refinery,Refining (oil),NMVOC
Petroleum Refinery,Refining (oil),CO
Petroleum Refinery,Refining (oil),SO2_1
Petroleum Refinery,Refining (oil),NH3
Petroleum Refinery,Refining (oil),PM2.5_AGG
Petroleum Refinery,Refining (oil),PM10_AGG
Petroleum Refinery,Refining (oil),NOx
Petroleum Storage Facility,Refining (oil),PM2.5
Petroleum Storage Facility,Refining (oil),PM10
Petroleum Storage Facility,Refining (oil),NMVOC
Petroleum Storage Facility,Refining (oil),CO
Petroleum Storage Facility,Refining (oil),SO2_1
Petroleum Storage Facility,Refining (oil),NH3
Petroleum Storage Facility,Refining (oil),PM2.5_AGG
Petroleum Storage Facility,Refining (oil),PM10_AGG
Petroleum Storage Facility,Refining (oil),NOx
Pharmaceutical Manufacturing,Industry (energy + processes),CO
Pharmaceutical Manufacturing,Industry (energy + processes),PM10
Pharmaceutical Manufacturing,Industry (energy + processes),PM2.5
Pharmaceutical Manufacturing,Industry (energy + processes),NOx
Pharmaceutical Manufacturing,Industry (energy + processes),SO2_1
Pharmaceutical Manufacturing,Industry (energy + processes),NH3
Pharmaceutical Manufacturing,Industry (energy + processes),NMVOC
Pharmaceutical Manufacturing,Industry (energy + processes),PM10_AGG
Pharmaceutical Manufacturing,Industry (energy + processes),PM2.5_AGG
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),CO
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),PM10
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),PM2.5
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),NOx
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),SO2_1
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),NH3
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),NMVOC
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),PM10_AGG
"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",Industry (energy + processes),PM2.5_AGG
Plywood & Engineered Wood Products,Industry (energy + processes),CO
Plywood & Engineered Wood Products,Industry (energy + processes),PM10
Plywood & Engineered Wood Products,Industry (energy + processes),PM2.5
Plywood & Engineered Wood Products,Industry (energy + processes),NOx
Plywood & Engineered Wood Products,Industry (energy + processes),SO2_1
Plywood & Engineered Wood Products,Industry (energy + processes),NH3
Plywood & Engineered Wood Products,Industry (energy + processes),NMVOC
Plywood & Engineered Wood Products,Industry (energy + processes),PM10_AGG
Plywood & Engineered Wood Products,Industry (energy + processes),PM2.5_AGG
Portland Cement Manufacturing,Cement,CO
Portland Cement Manufacturing,Cement,NMVOC
Portland Cement Manufacturing,Cement,NH3
Portland Cement Manufacturing,Cement,NOx
Portland Cement Manufacturing,Cement,PM10
Portland Cement Manufacturing,Cement,PM2.5
Portland Cement Manufacturing,Cement,SO2_1
Primary Aluminum Plant,Industry (energy + processes),CO
Primary Aluminum Plant,Industry (energy + processes),PM10
Primary Aluminum Plant,Industry (energy + processes),PM2.5
Primary Aluminum Plant,Industry (energy + processes),NOx
Primary Aluminum Plant,Industry (energy + processes),SO2_1
Primary Aluminum Plant,Industry (energy + processes),NH3
Primary Aluminum Plant,Industry (energy + processes),NMVOC
Primary Aluminum Plant,Industry (energy + processes),PM10_AGG
Primary Aluminum Plant,Industry (energy + processes),PM2.5_AGG
Primary Copper Smelting/Refining Plant,Industry (energy + processes),CO
Primary Copper Smelting/Refining Plant,Industry (energy + processes),PM10
Primary Copper Smelting/Refining Plant,Industry (energy + processes),PM2.5
Primary Copper Smelting/Refining Plant,Industry (energy + processes),NOx
Primary Copper Smelting/Refining Plant,Industry (energy + processes),SO2_1
Primary Copper Smelting/Refining Plant,Industry (energy + processes),NH3
Primary Copper Smelting/Refining Plant,Industry (energy + processes),NMVOC
Primary Copper Smelting/Refining Plant,Industry (energy + processes),PM10_AGG
Primary Copper Smelting/Refining Plant,Industry (energy + processes),PM2.5_AGG
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),CO
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),PM10
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),PM2.5
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),NOx
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),SO2_1
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),NH3
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),NMVOC
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),PM10_AGG
"Primary Non-ferrous Metal Smelting/Refining Plant (not Lead, Gold, Aluminum, or Copper)",Industry (energy + processes),PM2.5_AGG
Printing/Publishing Facility,Industry (energy + processes),CO
Printing/Publishing Facility,Industry (energy + processes),PM10
Printing/Publishing Facility,Industry (energy + processes),PM2.5
Printing/Publishing Facility,Industry (energy + processes),NOx
Printing/Publishing Facility,Industry (energy + processes),SO2_1
Printing/Publishing Facility,Industry (energy + processes),NH3
Printing/Publishing Facility,Industry (energy + processes),NMVOC
Printing/Publishing Facility,Industry (energy + processes),PM10_AGG
Printing/Publishing Facility,Industry (energy + processes),PM2.5_AGG
Pulp and Paper Plant,Industry (energy + processes),CO
Pulp and Paper Plant,Industry (energy + processes),PM10
Pulp and Paper Plant,Industry (energy + processes),PM2.5
Pulp and Paper Plant,Industry (energy + processes),NOx
Pulp and Paper Plant,Industry (energy + processes),SO2_1
Pulp and Paper Plant,Industry (energy + processes),NH3
Pulp and Paper Plant,Industry (energy + processes),NMVOC
Pulp and Paper Plant,Industry (energy + processes),PM10_AGG
Pulp and Paper Plant,Industry (energy + processes),PM2.5_AGG
Rail Yard,Rail,CO
Rail Yard,Rail,PM10
Rail Yard,Rail,PM2.5
Rail Yard,Rail,NOx
Rail Yard,Rail,SO2_1
Rail Yard,Rail,NH3
Rail Yard,Rail,NMVOC
Rail Yard,Rail,PM10_AGG
Rail Yard,Rail,PM2.5_AGG
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),CO
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),PM10
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),PM2.5
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),NOx
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),SO2_1
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),NH3
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),NMVOC
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),PM10_AGG
Secondary Aluminum Smelting/Refining Plant,Industry (energy + processes),PM2.5_AGG
