PLFUELCT,agg_tech
BIOMASS,Biomass
COAL,Coal
GAS,Gas
HYDRO,Hydro
OIL,Oil
WIND,Wind
NUCLEAR,Nuclear
SOLAR,Solar
GEOTHERMAL,Geothermal
